Route,Latitude Debut,Longitude Debut,Latitude Fin,Longitude Fin,route_id
"33.531,-7.62 → 33.547,-7.603",33.53076443517872,-7.620207488965399,33.546530260563024,-7.603443488370979,194
"33.531,-7.62 → 33.533,-7.607",33.53076443517872,-7.620207488965399,33.5331373999159,-7.60743119944375,195
"33.533,-7.607 → 33.523,-7.627",33.5331373999159,-7.60743119944375,33.5234096623697,-7.627368587781716,196
"33.533,-7.607 → 33.54,-7.632",33.5331373999159,-7.60743119944375,33.54026411129312,-7.6319518606039,197
"33.533,-7.607 → 33.547,-7.603",33.5331373999159,-7.60743119944375,33.546530260563024,-7.603443488370979,198
"33.533,-7.607 → 33.531,-7.62",33.5331373999159,-7.60743119944375,33.53076443517872,-7.620207488965399,199
"33.606,-7.527 → 33.593,-7.553",33.60633088593887,-7.527055886982375,33.59262534701576,-7.552505825461063,200
"33.606,-7.527 → 33.616,-7.53",33.60633088593887,-7.527055886982375,33.61603358538719,-7.530093623695426,201
"33.606,-7.527 → 33.609,-7.571",33.60633088593887,-7.527055886982375,33.6086212940201,-7.5710170723231505,202
"33.606,-7.527 → 33.588,-7.514",33.60633088593887,-7.527055886982375,33.587582534562706,-7.514349381506551,203
"33.593,-7.553 → 33.606,-7.527",33.59262534701576,-7.552505825461063,33.60633088593887,-7.527055886982375,204
"33.593,-7.553 → 33.616,-7.53",33.59262534701576,-7.552505825461063,33.61603358538719,-7.530093623695426,205
"33.593,-7.553 → 33.609,-7.571",33.59262534701576,-7.552505825461063,33.6086212940201,-7.5710170723231505,206
"33.593,-7.553 → 33.588,-7.514",33.59262534701576,-7.552505825461063,33.587582534562706,-7.514349381506551,207
"33.616,-7.53 → 33.606,-7.527",33.61603358538719,-7.530093623695426,33.60633088593887,-7.527055886982375,208
"33.616,-7.53 → 33.593,-7.553",33.61603358538719,-7.530093623695426,33.59262534701576,-7.552505825461063,209
"33.616,-7.53 → 33.609,-7.571",33.61603358538719,-7.530093623695426,33.6086212940201,-7.5710170723231505,210
"33.616,-7.53 → 33.588,-7.514",33.61603358538719,-7.530093623695426,33.587582534562706,-7.514349381506551,211
"33.609,-7.571 → 33.606,-7.527",33.6086212940201,-7.5710170723231505,33.60633088593887,-7.527055886982375,212
"33.609,-7.571 → 33.593,-7.553",33.6086212940201,-7.5710170723231505,33.59262534701576,-7.552505825461063,213
"33.609,-7.571 → 33.616,-7.53",33.6086212940201,-7.5710170723231505,33.61603358538719,-7.530093623695426,214
"33.609,-7.571 → 33.588,-7.514",33.6086212940201,-7.5710170723231505,33.587582534562706,-7.514349381506551,215
"33.588,-7.514 → 33.606,-7.527",33.587582534562706,-7.514349381506551,33.60633088593887,-7.527055886982375,216
"33.588,-7.514 → 33.593,-7.553",33.587582534562706,-7.514349381506551,33.59262534701576,-7.552505825461063,217
"33.588,-7.514 → 33.616,-7.53",33.587582534562706,-7.514349381506551,33.61603358538719,-7.530093623695426,218
"33.588,-7.514 → 33.609,-7.571",33.587582534562706,-7.514349381506551,33.6086212940201,-7.5710170723231505,219
"33.57,-7.598 → 33.564,-7.6",33.57013445164309,-7.598058645606782,33.56363154284882,-7.599870730141732,220
"33.57,-7.598 → 33.565,-7.591",33.57013445164309,-7.598058645606782,33.564723920173485,-7.590697357199,221
"33.57,-7.598 → 33.567,-7.584",33.57013445164309,-7.598058645606782,33.56704661642497,-7.584284043045241,222
